segment_name,segment_start_sec,segment_end_sec,frame_idx,processed_idx,bag_abs_time,bag_rel_time,roi_mean,roi_std,roi_min,roi_max,edge_pixel_count,hough_line_count,left_line_count,right_line_count,left_slope,right_slope,lpos,rpos,lane_width,center,center_error,mode,corner,fail_count,center_jump,lane_width_jump,suspicious_reasons
lap1_problem_section_v0_1,37.440000,43.640000,1117,0,1780899047.915690422,37.440142870,102.695895,65.163754,16,236,1050,9,3,6,-0.727272727,0.810606061,51,559,508,305,-15,BOTH,STRAIGHT,0,15,,
lap1_problem_section_v0_1,37.440000,43.640000,1118,1,1780899047.947730541,37.472182989,101.814162,65.534129,16,236,1134,8,1,6,-0.731092437,0.725000000,49,581,532,315,-5,BOTH,STRAIGHT,0,10,24,
lap1_problem_section_v0_1,37.440000,43.640000,1119,2,1780899047.981523991,37.505976439,100.640455,65.661100,16,235,1175,10,2,5,-0.720000000,0.804878049,49,558,509,303,-17,BOTH,STRAIGHT,0,12,23,
lap1_problem_section_v0_1,37.440000,43.640000,1120,3,1780899048.011941195,37.536393642,99.517259,65.552581,16,236,1232,11,2,6,-0.714285714,0.800000000,47,557,510,302,-18,BOTH,STRAIGHT,0,1,1,
lap1_problem_section_v0_1,37.440000,43.640000,1121,4,1780899048.043987989,37.568440437,98.343437,65.387368,16,236,1411,18,2,7,-0.730769231,0.729166667,48,562,514,305,-15,BOTH,STRAIGHT,0,3,4,
lap1_problem_section_v0_1,37.440000,43.640000,1122,5,1780899048.083077431,37.607529879,96.831690,65.002796,16,236,1500,17,2,6,-0.721311475,0.806722689,47,558,511,302,-18,BOTH,STRAIGHT,0,3,3,
lap1_problem_section_v0_1,37.440000,43.640000,1123,6,1780899048.112938643,37.637391090,95.123437,64.704204,16,235,1503,19,2,6,-0.725806452,0.765432099,44,559,515,301,-19,BOTH,STRAIGHT,0,1,4,
lap1_problem_section_v0_1,37.440000,43.640000,1124,7,1780899048.144531727,37.668984175,93.504659,64.276878,16,236,1271,13,3,6,-0.726190476,0.681818182,45,582,537,313,-7,BOTH,STRAIGHT,0,12,22,
lap1_problem_section_v0_1,37.440000,43.640000,1125,8,1780899048.180727243,37.705179691,91.471690,63.696062,16,236,1382,13,3,6,-0.727272727,0.689655172,45,582,537,313,-7,BOTH,STRAIGHT,0,0,0,
lap1_problem_section_v0_1,37.440000,43.640000,1126,9,1780899048.212829351,37.737281799,89.715000,63.100788,16,236,1367,14,5,7,-0.939393939,0.730769231,209,559,350,384,64,BOTH,STRAIGHT,0,71,187,lane_width_jump
lap1_problem_section_v0_1,37.440000,43.640000,1127,10,1780899048.247510672,37.771963120,87.759418,62.322412,16,236,1477,14,6,6,-0.962962963,0.707317073,210,580,370,395,75,BOTH,STRAIGHT,0,11,20,
lap1_problem_section_v0_1,37.440000,43.640000,1128,11,1780899048.279626608,37.804079056,85.490440,61.456031,16,236,1494,14,5,6,-1.000000000,0.728571429,213,560,347,386,66,BOTH,STRAIGHT,0,9,23,
lap1_problem_section_v0_1,37.440000,43.640000,1129,12,1780899048.312417269,37.836869717,83.533125,60.545709,16,236,1504,17,6,8,-0.933333333,0.750000000,213,557,344,385,65,BOTH,STRAIGHT,0,1,3,
lap1_problem_section_v0_1,37.440000,43.640000,1130,13,1780899048.348576069,37.873028517,81.402443,59.554557,16,236,1646,16,6,7,-0.975609756,0.644444444,219,583,364,401,81,BOTH,STRAIGHT,0,16,20,
lap1_problem_section_v0_1,37.440000,43.640000,1131,14,1780899048.380002737,37.904455185,79.537614,58.361926,16,236,1684,17,7,5,-0.971428571,0.702702703,221,558,337,389,69,BOTH,STRAIGHT,0,12,27,
lap1_problem_section_v0_1,37.440000,43.640000,1132,15,1780899048.412485361,37.936937809,77.435739,57.183057,16,235,1672,16,6,7,-1.000000000,0.753086420,224,557,333,390,70,BOTH,STRAIGHT,0,1,4,
lap1_problem_section_v0_1,37.440000,43.640000,1133,16,1780899048.447460651,37.971913099,75.145000,56.004796,16,236,1680,21,8,6,-0.970588235,0.708333333,226,558,332,392,72,BOTH,STRAIGHT,0,2,1,
lap1_problem_section_v0_1,37.440000,43.640000,1134,17,1780899048.480207682,38.004660130,72.918750,54.766410,16,235,1538,18,8,7,-0.964285714,0.677419355,230,579,349,404,84,BOTH,STRAIGHT,0,12,17,
lap1_problem_section_v0_1,37.440000,43.640000,1135,18,1780899048.516649723,38.041102171,70.679205,53.387789,16,235,1444,16,7,6,-1.000000000,0.722222222,231,557,326,394,74,BOTH,STRAIGHT,0,10,23,
lap1_problem_section_v0_1,37.440000,43.640000,1136,19,1780899048.547446966,38.071899414,68.070284,52.101934,16,236,1434,14,6,6,-0.723404255,0.703703704,40,577,537,308,-12,BOTH,STRAIGHT,0,86,211,center_jump;lane_width_jump
lap1_problem_section_v0_1,37.440000,43.640000,1137,20,1780899048.580132961,38.104585409,65.571648,50.833670,16,235,1396,15,6,6,-0.703703704,0.666666667,40,581,541,310,-10,BOTH,STRAIGHT,0,2,4,
lap1_problem_section_v0_1,37.440000,43.640000,1138,21,1780899048.616564751,38.141017199,63.112145,49.525319,16,235,1495,14,6,6,-0.666666667,0.703296703,27,559,532,293,-27,BOTH,STRAIGHT,0,17,9,
lap1_problem_section_v0_1,37.440000,43.640000,1139,22,1780899048.647711992,38.172164440,60.855270,48.091363,16,235,1397,16,7,7,-0.735294118,0.666666667,43,562,519,302,-18,BOTH,STRAIGHT,0,9,13,
lap1_problem_section_v0_1,37.440000,43.640000,1140,23,1780899048.679987431,38.204439878,58.430923,46.571860,16,236,1659,19,7,7,-0.678160920,0.634615385,27,583,556,305,-15,BOTH,STRAIGHT,0,3,37,
lap1_problem_section_v0_1,37.440000,43.640000,1141,24,1780899048.715720415,38.240172863,55.946506,45.017176,16,235,1668,19,7,5,-0.705882353,0.666666667,39,578,539,308,-12,BOTH,STRAIGHT,0,3,17,
lap1_problem_section_v0_1,37.440000,43.640000,1142,25,1780899048.747730732,38.272183180,53.247741,43.458711,16,236,1641,18,6,6,-0.730434783,0.666666667,39,559,520,299,-21,BOTH,STRAIGHT,0,9,19,
lap1_problem_section_v0_1,37.440000,43.640000,1143,26,1780899048.784356833,38.308809280,51.125923,41.673179,16,236,1730,20,6,6,-0.718750000,0.661764706,38,577,539,307,-13,BOTH,STRAIGHT,0,8,19,
lap1_problem_section_v0_1,37.440000,43.640000,1144,27,1780899048.816606045,38.341058493,49.206080,39.687764,16,235,1524,19,6,7,-0.704545455,0.692307692,38,556,518,297,-23,BOTH,STRAIGHT,0,10,21,
