segment_name,segment_start_sec,segment_end_sec,frame_idx,processed_idx,bag_abs_time,bag_rel_time,roi_mean,roi_std,roi_min,roi_max,edge_pixel_count,hough_line_count,left_line_count,right_line_count,left_slope,right_slope,lpos,rpos,lane_width,center,center_error,mode,baseline_mode,corner,fail_count,center_jump,lane_width_jump,recovery_used,recovery_success,recovery_left_found,recovery_right_found,recovery_window_px,recovery_reason,local_first_used,local_accept,full_fallback_used,local_reason,v3_full_recheck_used,v3_mismatch,v3_tentative_count,v3_full_recheck_accept,v3_decision,suspicious_reasons
lap1_problem_section_v3_fixed,37.440000,43.640000,1131,14,1780899048.380002737,37.904455185,79.537614,58.361926,16,236,1147,15,6,9,-0.727272727,0.727272727,45,557,512,301,-19,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,v3_local_first_used;v3_local_accept
lap1_problem_section_v3_fixed,37.440000,43.640000,1132,15,1780899048.412485361,37.936937809,77.435739,57.183057,16,235,1156,17,7,10,-0.728813559,0.731958763,44,557,513,300,-20,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,v3_local_first_used;v3_local_accept
lap1_problem_section_v3_fixed,37.440000,43.640000,1133,16,1780899048.447460651,37.971913099,75.145000,56.004796,16,236,1155,19,10,9,-0.727272727,0.780219780,44,557,513,300,-20,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,v3_local_first_used;v3_local_accept
lap1_problem_section_v3_fixed,37.440000,43.640000,1134,17,1780899048.480207682,38.004660130,72.918750,54.766410,16,235,1184,18,7,11,-0.727272727,0.753623188,42,557,515,299,-21,BOTH,BOTH,STRAIGHT,0,1,2,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,v3_local_first_used;v3_local_accept
lap1_problem_section_v3_fixed,37.440000,43.640000,1135,18,1780899048.516649723,38.041102171,70.679205,53.387789,16,235,1203,20,10,10,-0.720338983,0.782608696,41,557,516,299,-21,BOTH,BOTH,STRAIGHT,0,0,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,v3_local_first_used;v3_local_accept
lap1_problem_section_v3_fixed,37.440000,43.640000,1136,19,1780899048.547446966,38.071899414,68.070284,52.101934,16,236,1229,22,10,12,-0.709090909,0.732758621,40,557,517,298,-22,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,v3_local_first_used;v3_local_accept
lap1_problem_section_v3_fixed,37.440000,43.640000,1137,20,1780899048.580132961,38.104585409,65.571648,50.833670,16,235,1219,17,10,7,-0.727272727,0.728813559,40,557,517,298,-22,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,v3_local_first_used;v3_local_accept
lap1_problem_section_v3_fixed,37.440000,43.640000,1138,21,1780899048.616564751,38.141017199,63.112145,49.525319,16,235,1283,20,9,11,-0.744186047,0.725663717,43,557,514,300,-20,BOTH,BOTH,STRAIGHT,0,2,3,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,v3_local_first_used;v3_local_accept
lap1_problem_section_v3_fixed,37.440000,43.640000,1139,22,1780899048.647711992,38.172164440,60.855270,48.091363,16,235,1270,20,9,11,-0.733333333,0.754545455,43,557,514,300,-20,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,v3_local_first_used;v3_local_accept
lap1_problem_section_v3_fixed,37.440000,43.640000,1140,23,1780899048.679987431,38.204439878,58.430923,46.571860,16,236,1264,22,11,11,-0.733333333,0.701030928,43,557,514,300,-20,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,v3_local_first_used;v3_local_accept
