segment_name,segment_start_sec,segment_end_sec,frame_idx,processed_idx,bag_abs_time,bag_rel_time,roi_mean,roi_std,roi_min,roi_max,edge_pixel_count,hough_line_count,left_line_count,right_line_count,left_slope,right_slope,lpos,rpos,lane_width,center,center_error,mode,baseline_mode,corner,fail_count,center_jump,lane_width_jump,recovery_used,recovery_success,recovery_left_found,recovery_right_found,recovery_window_px,recovery_reason,local_first_used,local_accept,full_fallback_used,local_reason,suspicious_reasons
lap1_problem_section_v0_2,37.440000,43.640000,1117,0,1780899047.915690422,37.440142870,102.695895,65.163754,16,236,723,7,3,4,-0.716981132,0.807692308,51,560,509,305,-15,BOTH,BOTH,STRAIGHT,0,15,,0,0,0,0,90,no_last_good,0,0,1,no_last_good,
lap1_problem_section_v0_2,37.440000,43.640000,1118,1,1780899047.947730541,37.472182989,101.814162,65.534129,16,236,685,8,3,5,-0.733333333,0.780952381,50,559,509,304,-16,BOTH,BOTH,STRAIGHT,0,1,0,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap1_problem_section_v0_2,37.440000,43.640000,1119,2,1780899047.981523991,37.505976439,100.640455,65.661100,16,235,694,8,3,5,-0.725806452,0.753246753,49,559,510,304,-16,BOTH,BOTH,STRAIGHT,0,0,1,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap1_problem_section_v0_2,37.440000,43.640000,1120,3,1780899048.011941195,37.536393642,99.517259,65.552581,16,236,748,12,4,8,-0.722222222,0.810810811,48,558,510,303,-17,BOTH,BOTH,STRAIGHT,0,1,0,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap1_problem_section_v0_2,37.440000,43.640000,1121,4,1780899048.043987989,37.568440437,98.343437,65.387368,16,236,825,17,9,8,-0.750000000,0.785714286,48,558,510,303,-17,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap1_problem_section_v0_2,37.440000,43.640000,1122,5,1780899048.083077431,37.607529879,96.831690,65.002796,16,236,796,11,5,6,-0.729508197,0.840425532,46,558,512,302,-18,BOTH,BOTH,STRAIGHT,0,1,2,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap1_problem_section_v0_2,37.440000,43.640000,1123,6,1780899048.112938643,37.637391090,95.123437,64.704204,16,235,832,14,5,9,-0.729508197,0.775000000,46,558,512,302,-18,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap1_problem_section_v0_2,37.440000,43.640000,1124,7,1780899048.144531727,37.668984175,93.504659,64.276878,16,236,837,14,6,8,-0.727272727,0.784615385,45,558,513,301,-19,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap1_problem_section_v0_2,37.440000,43.640000,1125,8,1780899048.180727243,37.705179691,91.471690,63.696062,16,236,856,14,5,9,-0.727272727,0.811881188,45,558,513,301,-19,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap1_problem_section_v0_2,37.440000,43.640000,1126,9,1780899048.212829351,37.737281799,89.715000,63.100788,16,236,890,15,9,6,-0.750000000,0.755319149,45,558,513,301,-19,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap1_problem_section_v0_2,37.440000,43.640000,1127,10,1780899048.247510672,37.771963120,87.759418,62.322412,16,236,918,15,7,8,-0.727272727,0.833333333,45,558,513,301,-19,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap1_problem_section_v0_2,37.440000,43.640000,1128,11,1780899048.279626608,37.804079056,85.490440,61.456031,16,236,953,17,6,11,-0.731092437,0.810344828,44,558,514,301,-19,BOTH,BOTH,STRAIGHT,0,0,1,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap1_problem_section_v0_2,37.440000,43.640000,1129,12,1780899048.312417269,37.836869717,83.533125,60.545709,16,236,957,16,7,9,-0.727272727,0.780821918,44,558,514,301,-19,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap1_problem_section_v0_2,37.440000,43.640000,1130,13,1780899048.348576069,37.873028517,81.402443,59.554557,16,236,1016,15,8,7,-0.725806452,0.733333333,44,558,514,301,-19,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap1_problem_section_v0_2,37.440000,43.640000,1131,14,1780899048.380002737,37.904455185,79.537614,58.361926,16,236,1040,17,8,9,-0.727272727,0.753424658,44,557,513,300,-20,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap1_problem_section_v0_2,37.440000,43.640000,1132,15,1780899048.412485361,37.936937809,77.435739,57.183057,16,235,1010,18,7,11,-0.725000000,0.753246753,44,557,513,300,-20,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap1_problem_section_v0_2,37.440000,43.640000,1133,16,1780899048.447460651,37.971913099,75.145000,56.004796,16,236,993,16,7,9,-0.731092437,0.730000000,43,557,514,300,-20,BOTH,BOTH,STRAIGHT,0,0,1,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap1_problem_section_v0_2,37.440000,43.640000,1134,17,1780899048.480207682,38.004660130,72.918750,54.766410,16,235,1043,17,7,10,-0.728813559,0.753246753,42,557,515,299,-21,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap1_problem_section_v0_2,37.440000,43.640000,1135,18,1780899048.516649723,38.041102171,70.679205,53.387789,16,235,1053,19,8,11,-0.730769231,0.726027397,42,557,515,299,-21,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap1_problem_section_v0_2,37.440000,43.640000,1136,19,1780899048.547446966,38.071899414,68.070284,52.101934,16,236,1060,19,9,10,-0.744680851,0.807228916,41,558,517,299,-21,BOTH,BOTH,STRAIGHT,0,0,2,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap1_problem_section_v0_2,37.440000,43.640000,1137,20,1780899048.580132961,38.104585409,65.571648,50.833670,16,235,1061,18,8,10,-0.726495726,0.753086420,41,558,517,299,-21,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap1_problem_section_v0_2,37.440000,43.640000,1138,21,1780899048.616564751,38.141017199,63.112145,49.525319,16,235,1087,16,7,9,-0.728070175,0.726027397,43,558,515,300,-20,BOTH,BOTH,STRAIGHT,0,1,2,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap1_problem_section_v0_2,37.440000,43.640000,1139,22,1780899048.647711992,38.172164440,60.855270,48.091363,16,235,1084,16,7,9,-0.752688172,0.753086420,43,558,515,300,-20,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap1_problem_section_v0_2,37.440000,43.640000,1140,23,1780899048.679987431,38.204439878,58.430923,46.571860,16,236,1101,19,9,10,-0.736842105,0.701492537,42,558,516,300,-20,BOTH,BOTH,STRAIGHT,0,0,1,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap1_problem_section_v0_2,37.440000,43.640000,1141,24,1780899048.715720415,38.240172863,55.946506,45.017176,16,235,1094,20,8,12,-0.722222222,0.782608696,41,558,517,299,-21,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
