segment_name,segment_start_sec,segment_end_sec,frame_idx,processed_idx,bag_abs_time,bag_rel_time,roi_mean,roi_std,roi_min,roi_max,edge_pixel_count,hough_line_count,left_line_count,right_line_count,left_slope,right_slope,lpos,rpos,lane_width,center,center_error,mode,baseline_mode,corner,fail_count,center_jump,lane_width_jump,recovery_used,recovery_success,recovery_left_found,recovery_right_found,recovery_window_px,recovery_reason,local_left_roi_x0,local_left_roi_x1,local_right_roi_x0,local_right_roi_x1,pred_lpos,pred_rpos,final_source,suspicious_reasons
lap1_problem_section_v0_1,14.000000,80.000000,438,20,1780899025.154124737,14.678577185,117.069787,52.921754,16,236,936,8,4,4,-0.848837209,0.500000000,39,596,557,317,-3,BOTH,BOTH,STRAIGHT,0,1,3,0,0,0,0,90,,,,,,36,596,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,439,21,1780899025.191286325,14.715738773,117.122756,52.576128,16,236,938,8,4,4,-0.864864865,0.531791908,41,569,528,305,-15,BOTH,BOTH,STRAIGHT,0,12,29,0,0,0,0,90,,,,,,39,596,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,440,22,1780899025.224868059,14.749320507,117.155724,52.198086,16,236,961,9,4,4,-0.867924528,0.549382716,42,569,527,305,-15,BOTH,BOTH,STRAIGHT,0,0,1,0,0,0,0,90,,,,,,41,569,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,441,23,1780899025.254300356,14.778752804,117.286449,51.886199,16,235,930,9,5,4,-0.850000000,0.553571429,42,569,527,305,-15,BOTH,BOTH,STRAIGHT,0,0,0,0,0,0,0,90,,,,,,42,569,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,442,24,1780899025.290753603,14.815206051,117.533082,51.759366,16,235,898,7,3,4,-0.818181818,0.571428571,37,566,529,301,-19,BOTH,BOTH,STRAIGHT,0,4,2,0,0,0,0,90,,,,,,42,569,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,443,25,1780899025.321560383,14.846012831,117.575994,51.710606,16,236,846,7,3,4,-0.823529412,0.573964497,34,563,529,298,-22,BOTH,BOTH,STRAIGHT,0,3,0,0,0,0,0,90,,,,,,37,566,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,444,26,1780899025.359040737,14.883493185,117.903849,51.834155,19,235,814,7,2,5,-0.838709677,0.569620253,31,561,530,296,-24,BOTH,BOTH,STRAIGHT,0,2,1,0,0,0,0,90,,,,,,34,563,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,445,27,1780899025.389338493,14.913790941,118.373949,51.919121,16,235,800,4,1,3,-0.842105263,0.574712644,31,560,529,295,-25,BOTH,BOTH,STRAIGHT,0,1,1,0,0,0,0,90,,,,,,31,561,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,446,28,1780899025.422024727,14.946477175,118.779602,52.150492,16,235,815,10,4,6,-0.750000000,0.563636364,11,560,549,285,-35,BOTH,BOTH,STRAIGHT,0,10,20,0,0,0,0,90,,,,,,31,560,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,447,29,1780899025.458657742,14.983110189,119.034119,52.368426,16,235,798,8,3,5,-0.750000000,0.522727273,10,586,576,298,-22,BOTH,BOTH,STRAIGHT,0,13,27,0,0,0,0,90,,,,,,11,560,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,448,30,1780899025.490075827,15.014528275,119.703438,52.642216,26,235,785,8,2,6,-0.810810811,0.579310345,26,556,530,291,-29,BOTH,BOTH,STRAIGHT,0,7,46,0,0,0,0,90,,,,,,10,586,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,449,31,1780899025.522577524,15.047029972,120.354332,52.871270,19,235,815,8,2,5,-0.835164835,0.576576577,26,554,528,290,-30,BOTH,BOTH,STRAIGHT,0,1,2,0,0,0,0,90,,,,,,26,556,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,450,32,1780899025.559649229,15.084101677,120.833920,53.104636,16,235,781,7,2,5,-0.846153846,0.578947368,26,552,526,289,-31,BOTH,BOTH,STRAIGHT,0,1,2,0,0,0,0,90,,,,,,26,554,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,451,33,1780899025.589991093,15.114443541,121.285313,53.137125,16,235,788,7,2,5,-0.838709677,0.579617834,28,552,524,290,-30,BOTH,BOTH,STRAIGHT,0,1,2,0,0,0,0,90,,,,,,26,552,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,452,34,1780899025.626680851,15.151133299,121.632571,53.136532,16,236,785,6,2,4,-0.840909091,0.530973451,30,581,551,305,-15,BOTH,BOTH,STRAIGHT,0,15,27,0,0,0,0,90,,,,,,28,552,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,453,35,1780899025.659774542,15.184226990,121.957912,53.344637,16,236,829,8,3,5,-0.800000000,0.577464789,31,554,523,292,-28,BOTH,BOTH,STRAIGHT,0,13,28,0,0,0,0,90,,,,,,30,581,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,454,36,1780899025.690304279,15.214756727,122.089148,53.334191,16,235,853,9,3,6,-0.810810811,0.593406593,31,553,522,292,-28,BOTH,BOTH,STRAIGHT,0,0,1,0,0,0,0,90,,,,,,31,554,FULL_BASELINE,
