segment_name,segment_start_sec,segment_end_sec,frame_idx,processed_idx,bag_abs_time,bag_rel_time,roi_mean,roi_std,roi_min,roi_max,edge_pixel_count,hough_line_count,left_line_count,right_line_count,left_slope,right_slope,lpos,rpos,lane_width,center,center_error,mode,corner,fail_count,center_jump,lane_width_jump,suspicious_reasons
lap2_problem_section_v0_1,104.000000,115.000000,3103,0,1780899114.476508617,104.000961065,125.301491,57.548611,19,235,542,5,2,3,-0.781250000,0.611111111,40,554,514,297,-23,BOTH,STRAIGHT,0,23,,
lap2_problem_section_v0_1,104.000000,115.000000,3104,1,1780899114.507432938,104.031885386,125.463807,57.619766,16,236,534,6,2,4,-0.811764706,0.651162791,44,551,507,297,-23,BOTH,STRAIGHT,0,0,7,
lap2_problem_section_v0_1,104.000000,115.000000,3105,2,1780899114.544567347,104.069019794,126.428139,58.208793,16,235,532,5,3,2,-0.793103448,0.630000000,46,550,504,298,-22,BOTH,STRAIGHT,0,1,3,
lap2_problem_section_v0_1,104.000000,115.000000,3106,3,1780899114.576038122,104.100490570,126.696335,58.692051,16,235,538,6,3,3,-0.787878788,0.612903226,48,550,502,299,-21,BOTH,STRAIGHT,0,1,2,
lap2_problem_section_v0_1,104.000000,115.000000,3107,4,1780899114.608088017,104.132540464,126.704332,58.942989,16,235,543,4,2,2,-0.810526316,0.627906977,48,546,498,297,-23,BOTH,STRAIGHT,0,2,4,
lap2_problem_section_v0_1,104.000000,115.000000,3108,5,1780899114.643912315,104.168364763,126.472841,59.079107,20,235,517,5,3,2,-0.814814815,0.626168224,49,546,497,297,-23,BOTH,STRAIGHT,0,0,1,
lap2_problem_section_v0_1,104.000000,115.000000,3109,6,1780899114.675987959,104.200440407,126.177088,59.214033,16,236,518,7,3,4,-0.805555556,0.636363636,50,544,494,297,-23,BOTH,STRAIGHT,0,0,3,
lap2_problem_section_v0_1,104.000000,115.000000,3110,7,1780899114.713144541,104.237596989,125.660256,59.409371,16,236,509,7,3,4,-0.808695652,0.639344262,51,546,495,298,-22,BOTH,STRAIGHT,0,1,1,
lap2_problem_section_v0_1,104.000000,115.000000,3111,8,1780899114.745886803,104.270339251,124.968423,59.335133,16,235,507,6,2,4,-0.810344828,0.626373626,52,550,498,301,-19,BOTH,STRAIGHT,0,3,3,
lap2_problem_section_v0_1,104.000000,115.000000,3112,9,1780899114.777073383,104.301525831,124.344986,59.328957,16,235,499,6,3,3,-0.783132530,0.640625000,52,550,498,301,-19,BOTH,STRAIGHT,0,0,0,
lap2_problem_section_v0_1,104.000000,115.000000,3113,10,1780899114.813230276,104.337682724,123.635469,59.202670,16,235,519,3,1,2,-0.809917355,0.650485437,54,553,499,303,-17,BOTH,STRAIGHT,0,2,1,
lap2_problem_section_v0_1,104.000000,115.000000,3114,11,1780899114.844694376,104.369146824,122.710071,58.833507,22,235,513,4,2,2,-0.833333333,0.651515152,53,556,503,304,-16,BOTH,STRAIGHT,0,1,4,
lap2_problem_section_v0_1,104.000000,115.000000,3115,12,1780899114.881198406,104.405650854,122.173736,58.763766,20,235,495,5,3,2,-0.811475410,0.652892562,55,559,504,307,-13,BOTH,STRAIGHT,0,3,1,
lap2_problem_section_v0_1,104.000000,115.000000,3116,13,1780899114.912777424,104.437229872,122.120426,58.706240,16,236,493,5,3,2,-0.814516129,0.694444444,56,556,500,306,-14,BOTH,STRAIGHT,0,1,4,
lap2_problem_section_v0_1,104.000000,115.000000,3117,14,1780899114.943098545,104.467550993,122.436946,58.875636,16,235,496,4,2,2,-0.809523810,0.677215190,58,559,501,308,-12,BOTH,STRAIGHT,0,2,1,
lap2_problem_section_v0_1,104.000000,115.000000,3118,15,1780899114.979620218,104.504072666,122.151165,59.037199,16,235,512,5,3,2,-0.763888889,0.666666667,56,560,504,308,-12,BOTH,STRAIGHT,0,0,3,
