frame_idx,processed_idx,timestamp,rel_time,roi_mean,roi_std,roi_min,roi_max,edge_pixel_count,hough_line_count,left_line_count,right_line_count,left_slope,right_slope,lpos,rpos,lane_width,center,center_error,mode,corner,fail_count,center_jump,lane_width_jump,suspicious_reasons
36,36,1780899011.681120634,1.205573,137.592187,47.952148,22,235,521,6,3,3,-0.542857143,0.843137255,55,599,544,327,7,BOTH,STRAIGHT,0,0,2,
37,37,1780899011.712993622,1.237446,137.526577,47.989285,16,235,525,5,3,2,-0.576923077,0.863636364,59,598,539,328,8,BOTH,STRAIGHT,0,1,5,
38,38,1780899011.748671055,1.273124,137.566903,47.967908,16,235,521,6,4,2,-0.508771930,0.839080460,51,600,549,325,5,BOTH,STRAIGHT,0,3,10,
39,39,1780899011.783964872,1.308417,137.543665,47.985345,24,235,476,5,3,2,-0.516129032,0.837837838,51,600,549,325,5,BOTH,STRAIGHT,0,0,0,
40,40,1780899011.814458132,1.338911,137.470469,48.040819,16,235,478,5,3,2,-0.533333333,0.839080460,55,600,545,327,7,BOTH,STRAIGHT,0,2,4,
41,41,1780899011.855104446,1.379557,137.453480,48.046882,37,235,522,6,3,3,-0.538461538,0.850000000,55,600,545,327,7,BOTH,STRAIGHT,0,0,0,
42,42,1780899011.882068396,1.406521,137.431264,48.057327,16,235,479,8,5,3,-0.512820513,0.839285714,52,599,547,325,5,BOTH,STRAIGHT,0,2,2,
43,43,1780899011.912972450,1.437425,137.517060,48.012677,19,235,476,6,4,2,-0.565217391,0.854545455,59,599,540,329,9,BOTH,STRAIGHT,0,4,7,
44,44,1780899011.949123144,1.473576,137.482386,48.027717,19,235,522,6,4,2,-0.488372093,0.818181818,47,601,554,324,4,BOTH,STRAIGHT,0,5,14,
45,45,1780899011.983625412,1.508078,137.443807,48.045566,29,235,522,6,4,2,-0.508771930,0.837837838,51,600,549,325,5,BOTH,STRAIGHT,0,1,5,
46,46,1780899012.016314268,1.540767,137.526293,47.997633,28,235,476,6,4,2,-0.598130841,0.836734694,63,600,537,331,11,BOTH,STRAIGHT,0,6,12,
47,47,1780899012.049432278,1.573885,137.480682,48.023145,17,235,478,6,3,3,-0.592592593,0.839285714,60,599,539,329,9,BOTH,STRAIGHT,0,2,2,
48,48,1780899012.082828999,1.607281,137.443409,48.032599,16,235,521,6,4,2,-0.553846154,0.870967742,57,598,541,327,7,BOTH,STRAIGHT,0,2,2,
49,49,1780899012.122104406,1.646557,137.481349,48.010209,17,235,475,6,4,2,-0.600000000,0.836734694,60,600,540,330,10,BOTH,STRAIGHT,0,3,1,
50,50,1780899012.151181459,1.675634,137.499986,47.991252,22,235,475,6,3,3,-0.530303030,0.840000000,55,599,544,327,7,BOTH,STRAIGHT,0,3,4,
51,51,1780899012.184657097,1.709110,137.507415,47.977378,21,236,477,5,3,2,-0.600000000,0.836734694,62,600,538,331,11,BOTH,STRAIGHT,0,4,6,
52,52,1780899012.218308449,1.742761,137.584716,47.920688,18,235,476,5,3,2,-0.511111111,0.836734694,52,600,548,326,6,BOTH,STRAIGHT,0,5,10,
53,53,1780899012.251856327,1.776309,137.485653,47.978818,16,235,477,6,4,2,-0.516129032,0.854545455,51,599,548,325,5,BOTH,STRAIGHT,0,1,0,
54,54,1780899012.286252499,1.810705,137.503466,47.955784,31,235,522,5,3,2,-0.535211268,0.857142857,56,599,543,327,7,BOTH,STRAIGHT,0,2,5,
55,55,1780899012.316435099,1.840888,137.541747,47.912743,16,235,476,5,3,2,-0.600000000,0.834951456,60,600,540,330,10,BOTH,STRAIGHT,0,3,3,
56,56,1780899012.348516226,1.872969,137.583892,47.889005,23,236,522,6,4,2,-0.531914894,0.868421053,53,598,545,325,5,BOTH,STRAIGHT,0,5,5,
57,57,1780899012.384624243,1.909077,137.728920,47.795194,19,235,525,5,3,2,-0.511111111,0.840909091,52,600,548,326,6,BOTH,STRAIGHT,0,1,3,
58,58,1780899012.417493105,1.941946,137.720966,47.791161,28,235,480,5,3,2,-0.538461538,0.840909091,54,600,546,327,7,BOTH,STRAIGHT,0,1,2,
59,59,1780899012.455162525,1.979615,137.702457,47.792702,16,235,480,5,3,2,-0.608695652,0.854545455,63,599,536,331,11,BOTH,STRAIGHT,0,4,10,
60,60,1780899012.486602783,2.011055,137.748864,47.769996,17,235,522,6,3,3,-0.586956522,0.837837838,60,600,540,330,10,BOTH,STRAIGHT,0,1,4,
61,61,1780899012.520262718,2.044715,137.758608,47.756178,34,235,524,5,3,2,-0.552238806,0.836956522,57,600,543,328,8,BOTH,STRAIGHT,0,2,3,
62,62,1780899012.555548906,2.080001,137.826193,47.710340,20,235,522,6,3,3,-0.538461538,0.850000000,55,600,545,327,7,BOTH,STRAIGHT,0,1,2,
63,63,1780899012.585835934,2.110288,137.819020,47.713646,22,235,518,8,5,3,-0.510204082,0.837837838,51,600,549,325,5,BOTH,STRAIGHT,0,2,4,
